symbol,date,total_assets,total_liabilities,stockholders_equity,cash_and_equivalents,total_debt,net_debt,current_assets,current_liabilities,long_term_debt,retained_earnings,common_stock_shares_outstanding
AAPL,2025-12-31,379297000000.0,291107000000.0,88190000000.0,45317000000.0,90509000000.0,45192000000.0,158104000000.0,162367000000.0,76685000000.0,-2177000000.0,14697926000.0
AAPL,2025-09-30,359241000000.0,285508000000.0,73733000000.0,35934000000.0,98657000000.0,62723000000.0,147957000000.0,165631000000.0,78328000000.0,-14264000000.0,14773260000.0
AAPL,2025-06-30,331495000000.0,265665000000.0,65830000000.0,36269000000.0,101698000000.0,65429000000.0,122491000000.0,141120000000.0,82430000000.0,-17607000000.0,14856722000.0
AAPL,2025-03-31,331233000000.0,264437000000.0,66796000000.0,28162000000.0,98186000000.0,70024000000.0,118674000000.0,144571000000.0,78566000000.0,-15552000000.0,14939315000.0
AAPL,2024-12-31,344085000000.0,277327000000.0,66758000000.0,30299000000.0,96799000000.0,66500000000.0,133240000000.0,144365000000.0,83956000000.0,-11221000000.0,15037874000.0
AAPL,2024-09-30,,,,,,,,,,,
MSFT,2025-12-31,665302000000.0,274427000000.0,390875000000.0,24296000000.0,57607000000.0,15966000000.0,180190000000.0,130005000000.0,35425000000.0,280789000000.0,7429000000.0
MSFT,2025-09-30,636351000000.0,273275000000.0,363076000000.0,28849000000.0,60556000000.0,14359000000.0,189066000000.0,134996000000.0,35376000000.0,254873000000.0,7433087554.0
MSFT,2025-06-30,619003000000.0,275524000000.0,343479000000.0,30242000000.0,60588000000.0,12909000000.0,191131000000.0,141218000000.0,40152000000.0,237731000000.0,7434158655.0
MSFT,2025-03-31,562624000000.0,240733000000.0,321891000000.0,28828000000.0,60567000000.0,14053000000.0,156644000000.0,114206000000.0,39882000000.0,219759000000.0,7433982235.0
MSFT,2024-12-31,533898000000.0,231203000000.0,302695000000.0,17482000000.0,62224000000.0,27488000000.0,147080000000.0,108882000000.0,39722000000.0,203482000000.0,7435256940.0
MSFT,2024-09-30,,,,,,,,,,,
MSFT,2024-06-30,,,,,,,,,,,
GOOGL,2025-12-31,595281000000.0,180016000000.0,415265000000.0,30708000000.0,59291000000.0,15839000000.0,206038000000.0,102745000000.0,46547000000.0,324055000000.0,12088000000.0
GOOGL,2025-09-30,536469000000.0,149602000000.0,386867000000.0,23090000000.0,33713000000.0,,173947000000.0,99550000000.0,21607000000.0,297226000000.0,12077000000.0
GOOGL,2025-06-30,502053000000.0,139137000000.0,362916000000.0,21036000000.0,35559000000.0,2571000000.0,166216000000.0,87310000000.0,23607000000.0,275760000000.0,12104000000.0
GOOGL,2025-03-31,475374000000.0,130107000000.0,345267000000.0,23264000000.0,23564000000.0,,162052000000.0,91654000000.0,10886000000.0,262628000000.0,12155000000.0
GOOGL,2024-12-31,450256000000.0,125172000000.0,325084000000.0,23466000000.0,22574000000.0,,163711000000.0,89122000000.0,10883000000.0,245084000000.0,12211000000.0
GOOGL,2024-09-30,,,,,,,,,,,
GOOGL,2024-06-30,,,,,,,,,,,
AMZN,2025-12-31,818042000000.0,406977000000.0,411065000000.0,86810000000.0,152987000000.0,,229083000000.0,218005000000.0,65648000000.0,250536000000.0,10731000000.0
AMZN,2025-09-30,727921000000.0,358290000000.0,369631000000.0,66922000000.0,135419000000.0,,196866000000.0,195196000000.0,50742000000.0,229344000000.0,10687000000.0
AMZN,2025-06-30,682170000000.0,348395000000.0,333775000000.0,57741000000.0,133939000000.0,,191420000000.0,186921000000.0,50718000000.0,208157000000.0,10660000000.0
AMZN,2025-03-31,643256000000.0,337389000000.0,305867000000.0,66207000000.0,133245000000.0,,184645000000.0,176171000000.0,53374000000.0,189993000000.0,10613000000.0
AMZN,2024-12-31,624894000000.0,338924000000.0,285970000000.0,78779000000.0,130900000000.0,,190867000000.0,179431000000.0,52623000000.0,172866000000.0,10593000000.0
AMZN,2024-06-30,,,,,,,,,,,
NVDA,2026-01-31,206803000000.0,49510000000.0,157293000000.0,10605000000.0,11040000000.0,,125605000000.0,32163000000.0,7469000000.0,146973000000.0,24304000000.0
NVDA,2025-10-31,161148000000.0,42251000000.0,118897000000.0,11486000000.0,10481000000.0,,116492000000.0,26075000000.0,7468000000.0,107908000000.0,24305000000.0
NVDA,2025-07-31,140740000000.0,40609000000.0,100131000000.0,11639000000.0,10598000000.0,,102219000000.0,24257000000.0,8466000000.0,88737000000.0,24347000000.0
NVDA,2025-04-30,125254000000.0,41411000000.0,83843000000.0,15234000000.0,10285000000.0,,89935000000.0,26542000000.0,8464000000.0,72158000000.0,24387557065.0
NVDA,2025-01-31,111601000000.0,32274000000.0,79327000000.0,8589000000.0,9982000000.0,,80126000000.0,18047000000.0,8463000000.0,68038000000.0,24477000000.0
NVDA,2024-10-31,,,,,,,,,,,
NVDA,2024-07-31,,,,,,,,,,,
META,2025-12-31,366021000000.0,148778000000.0,217243000000.0,35873000000.0,83897000000.0,22871000000.0,108722000000.0,41836000000.0,58744000000.0,121179000000.0,2529638328.0
META,2025-09-30,303844000000.0,109778000000.0,194066000000.0,10187000000.0,51060000000.0,18647000000.0,73118000000.0,36958000000.0,28834000000.0,101577000000.0,2521178995.0
META,2025-06-30,294744000000.0,99674000000.0,195070000000.0,12005000000.0,49560000000.0,16827000000.0,73613000000.0,37305000000.0,28832000000.0,106345000000.0,2516000000.0
META,2025-03-31,280213000000.0,95184000000.0,185029000000.0,28750000000.0,49519000000.0,79000000.0,90227000000.0,33890000000.0,28829000000.0,101326000000.0,2523000000.0
META,2024-12-31,276054000000.0,93417000000.0,182637000000.0,43889000000.0,49060000000.0,,100045000000.0,33596000000.0,28826000000.0,102506000000.0,2534487662.0
META,2024-09-30,,,,,,,,,,,
META,2024-06-30,,,,,,,,,,,
TSLA,2025-12-31,137806000000.0,54941000000.0,82137000000.0,16513000000.0,14719000000.0,,68642000000.0,31714000000.0,6584000000.0,39003000000.0,3751000000.0
TSLA,2025-09-30,133735000000.0,53019000000.0,79970000000.0,18289000000.0,13788000000.0,,64653000000.0,31290000000.0,5609000000.0,38163000000.0,3324000000.0
TSLA,2025-06-30,128567000000.0,50495000000.0,77314000000.0,15587000000.0,13134000000.0,,61133000000.0,30008000000.0,4994000000.0,36790000000.0,3224000000.0
TSLA,2025-03-31,125111000000.0,49693000000.0,74653000000.0,16352000000.0,13128000000.0,,59389000000.0,29753000000.0,5080000000.0,35618000000.0,3220000000.0
TSLA,2024-12-31,122070000000.0,48390000000.0,72913000000.0,16139000000.0,13623000000.0,,58360000000.0,28821000000.0,5535000000.0,35209000000.0,3216000000.0
TSLA,2024-09-30,,,,,,,,,,,
TSLA,2024-06-30,,,,,,,,,,,
