symbol,date,revenue,cost_of_revenue,gross_profit,operating_income,net_income,ebitda,basic_eps,diluted_eps,operating_expense,research_and_development,interest_expense,tax_provision
AAPL,2026-03-31,,,,,,,2.02,2.01,,,,
AAPL,2025-12-31,143756000000.0,74525000000.0,69231000000.0,50852000000.0,42097000000.0,54066000000.0,2.85,2.84,18379000000.0,10887000000.0,,8905000000.0
AAPL,2025-09-30,102466000000.0,54125000000.0,48341000000.0,32427000000.0,27466000000.0,35554000000.0,1.85,1.85,15914000000.0,8866000000.0,,5338000000.0
AAPL,2025-06-30,94036000000.0,50318000000.0,43718000000.0,28202000000.0,23434000000.0,31032000000.0,1.57,1.57,15516000000.0,8866000000.0,,4597000000.0
AAPL,2025-03-31,95359000000.0,50492000000.0,44867000000.0,29589000000.0,24780000000.0,32250000000.0,1.65,1.65,15278000000.0,8550000000.0,,4530000000.0
AAPL,2024-12-31,124300000000.0,66025000000.0,58275000000.0,42832000000.0,36330000000.0,45912000000.0,,,15443000000.0,8268000000.0,,6254000000.0
MSFT,2026-03-31,82886000000.0,26828000000.0,56058000000.0,38398000000.0,31778000000.0,50285000000.0,4.28,4.27,17660000000.0,8915000000.0,778000000.0,7562000000.0
MSFT,2025-12-31,81273000000.0,25978000000.0,55295000000.0,38275000000.0,38458000000.0,58180000000.0,5.18,5.16,17020000000.0,8504000000.0,736000000.0,9788000000.0
MSFT,2025-09-30,77673000000.0,24043000000.0,53630000000.0,37961000000.0,27747000000.0,48060000000.0,3.73,3.72,15669000000.0,8146000000.0,698000000.0,6554000000.0
MSFT,2025-06-30,76441000000.0,24014000000.0,52427000000.0,34323000000.0,27233000000.0,44434000000.0,3.66,3.65,18104000000.0,8829000000.0,615000000.0,5383000000.0
MSFT,2025-03-31,70066000000.0,21919000000.0,48147000000.0,32000000000.0,25824000000.0,39705000000.0,3.47,3.46,16147000000.0,8198000000.0,594000000.0,5553000000.0
GOOGL,2026-03-31,109896000000.0,41271000000.0,68625000000.0,39696000000.0,62578000000.0,84427000000.0,5.17,5.11,28929000000.0,17032000000.0,533000000.0,14834000000.0
GOOGL,2025-12-31,113829000000.0,45767000000.0,68062000000.0,35934000000.0,34455000000.0,45455000000.0,2.85,2.82,32128000000.0,18572000000.0,298000000.0,4662000000.0
GOOGL,2025-09-30,102346000000.0,41369000000.0,60977000000.0,31228000000.0,34979000000.0,49741000000.0,2.89,2.87,29749000000.0,15151000000.0,143000000.0,9008000000.0
GOOGL,2025-06-30,96428000000.0,39039000000.0,57389000000.0,31271000000.0,28196000000.0,39192000000.0,2.33,2.31,26118000000.0,13808000000.0,261000000.0,5737000000.0
GOOGL,2025-03-31,90234000000.0,36361000000.0,53873000000.0,30606000000.0,34540000000.0,46310000000.0,2.84,2.81,23267000000.0,13556000000.0,34000000.0,7249000000.0
GOOGL,2024-12-31,,,,,,,,,,,,
AMZN,2026-03-31,181519000000.0,87463000000.0,94056000000.0,23852000000.0,30255000000.0,59579000000.0,2.82,2.78,70204000000.0,,800000000.0,9560000000.0
AMZN,2025-12-31,213386000000.0,109959000000.0,103427000000.0,24977000000.0,21192000000.0,46755000000.0,1.98,1.95,78450000000.0,,679000000.0,4946000000.0
AMZN,2025-09-30,180169000000.0,88670000000.0,91499000000.0,17422000000.0,21187000000.0,45504000000.0,1.98,1.95,74077000000.0,,538000000.0,6910000000.0
AMZN,2025-06-30,167702000000.0,80809000000.0,86893000000.0,19171000000.0,18164000000.0,36600000000.0,1.71,1.68,67722000000.0,,516000000.0,2678000000.0
AMZN,2025-03-31,155667000000.0,76976000000.0,78691000000.0,18405000000.0,17127000000.0,36482000000.0,1.62,1.59,60286000000.0,,541000000.0,4553000000.0
NVDA,2026-01-31,68127000000.0,17034000000.0,51093000000.0,44299000000.0,42960000000.0,51283000000.0,1.77,1.76,6794000000.0,5512000000.0,73000000.0,7438000000.0
NVDA,2025-10-31,57006000000.0,15157000000.0,41849000000.0,36010000000.0,31910000000.0,38748000000.0,1.31,1.3,5839000000.0,4705000000.0,61000000.0,6026000000.0
NVDA,2025-07-31,46743000000.0,12890000000.0,33853000000.0,28440000000.0,26422000000.0,31937000000.0,1.08,1.08,5413000000.0,4291000000.0,62000000.0,4784000000.0
NVDA,2025-04-30,44062000000.0,17394000000.0,26668000000.0,21638000000.0,18775000000.0,22584000000.0,0.77,0.76,5030000000.0,3989000000.0,63000000.0,3135000000.0
NVDA,2025-01-31,39331000000.0,10608000000.0,28723000000.0,24034000000.0,22091000000.0,25821000000.0,0.9,0.89,4689000000.0,3714000000.0,61000000.0,3126000000.0
META,2026-03-31,56311000000.0,10218000000.0,46093000000.0,22872000000.0,26773000000.0,28313000000.0,10.57,10.44,23221000000.0,17699000000.0,562000000.0,-5021000000.0
META,2025-12-31,59893000000.0,10906000000.0,48987000000.0,24745000000.0,22768000000.0,31221000000.0,9.02,8.88,24242000000.0,17135000000.0,456000000.0,2586000000.0
META,2025-09-30,51242000000.0,9206000000.0,42036000000.0,20535000000.0,2709000000.0,26853000000.0,1.08,1.05,21501000000.0,15144000000.0,227000000.0,18954000000.0
META,2025-06-30,47516000000.0,8491000000.0,39025000000.0,20441000000.0,18337000000.0,25117000000.0,7.28,7.14,18584000000.0,12942000000.0,241000000.0,2197000000.0
META,2025-03-31,42314000000.0,7572000000.0,34742000000.0,17555000000.0,16644000000.0,22522000000.0,6.59,6.43,17187000000.0,12150000000.0,240000000.0,1738000000.0
META,2024-12-31,,,,,,,,,,,,
TSLA,2026-03-31,22387000000.0,17667000000.0,4720000000.0,941000000.0,477000000.0,2430000000.0,0.15,0.13,3779000000.0,1946000000.0,92000000.0,257000000.0
TSLA,2025-12-31,24901000000.0,19892000000.0,5009000000.0,1571000000.0,840000000.0,2909000000.0,0.26,0.24,3438000000.0,1783000000.0,85000000.0,325000000.0
TSLA,2025-09-30,28095000000.0,23041000000.0,5054000000.0,1862000000.0,1373000000.0,3660000000.0,0.43,0.39,3192000000.0,1630000000.0,76000000.0,570000000.0
TSLA,2025-06-30,22496000000.0,18618000000.0,3878000000.0,923000000.0,1172000000.0,3068000000.0,0.36,0.33,2955000000.0,1589000000.0,86000000.0,359000000.0
TSLA,2025-03-31,19335000000.0,16182000000.0,3153000000.0,493000000.0,409000000.0,2127000000.0,0.13,0.12,2660000000.0,1409000000.0,91000000.0,169000000.0
TSLA,2024-12-31,,,,,,,,,,,,
TSLA,2024-09-30,,,,,,,,,,,,
